BRAHMS,COLLECTOR,NUMBER,SPECIES,COUNTRY,MAJORAREA,LOCNOTES,LLRES,QDS,LATDEC,LONGDEC,updatedProv,Check
813,Curator Pretoria Bot. Garden,PRE 43343,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0,,
814,Curator Pretoria Bot. Garden,7924,Xanthium strumarium L.,South Africa,Transvaal,DIVISION OF BOTANY,,,0,0,,
823,Curator Pretoria Bot. Garden,PRE 43352,Xanthium strumarium L.,South Africa,Transvaal,LABORATORY GROUNDS,,,0,0,,
828,"van Niekerk, M.",TRV 7523,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,GREAT OLIFANTS RIVER,,,0,0,,
829,"Crawley, V.G.",TRV 10405,Callilepis lancifolia Burtt Davy,South Africa,Transvaal,WOLHUTERSKOP,1/4dg,2527DA,-25.62166,27.62166,North West,y
899,"Breijer, H.G.",TRV 21621,Geigeria burkei Harv. subsp. fruticulosa Merxm.,South Africa,Transvaal,BLINKWATER; BRAK RIVER; BADEN BADEN FARM,,,0,0,,
928,"Pole-Evans, I.B.",H13544,Zinnia peruviana (L.) L.,South Africa,Transvaal,KAALFONTEIN,,,0,0,,
939,"Jenkins, T.J.",TRV 6907,Zinnia peruviana (L.) L.,South Africa,Transvaal,BOKFONTEIN,1/4dg,2527DB,-25.62166,27.87166,,
950,"Pegler, A.M.",1049,Zinnia peruviana (L.) L.,South Africa,Transvaal,CROCODILE RIVER,1/4dg,2527BA,-25.12166,27.62166,,
1318,"Rogers, F.A.",18917,Anisopappus junodii Hutch.,South Africa,Transvaal,THABINA,,,0,0,,
1423,Curator Pretoria Bot. Garden,PRE 43259,Callilepis leptophylla Harv.,South Africa,Transvaal,HATHERLEY,,,0,0,,
1425,"Coetzee, B.J.",427,Callilepis leptophylla Harv.,South Africa,Transvaal,UITKOMST 499 TO FARM; NABY SW. HOEKPAAL,1/4dg,2527DC,-25.87166,27.62166,,
1426,"Coetzee, B.J.",V796,Callilepis leptophylla Harv.,South Africa,Transvaal,UITKOMST 499 TO FARM,1/4dg,2527DD,-25.87166,27.87166,,
1481,"Schlechter, F.R.R.",3817,Cotula hispida (DC.) Harv.,South Africa,Transvaal,KLEIN OLIFANTS RIVER,,,0,0,,
